transaction_id,order_date,region,product_category,sales_channel,customer_segment,units_sold,unit_price,discount_rate,gross_revenue,discount_amount,net_revenue,month,seasonality_multiplier
1,2025-05-10,South,Office Supplies,Online,Small Business,8,164.42,0.0,1315.36,0.0,1315.36,5,1.0
2,2025-12-31,South,Software,Partner,Mid Market,5,185.39,0.0,926.95,0.0,1158.69,12,1.25
3,2025-11-10,West,Office Supplies,Online,Mid Market,1,131.54,0.0,131.54,0.0,164.42,11,1.25
4,2023-05-02,South,Office Supplies,Partner,Small Business,4,121.42,0.05,485.68,24.28,461.4,5,1.0
5,2024-04-11,West,Furniture,Partner,Mid Market,11,164.26,0.05,1806.86,90.34,1716.52,4,1.0
6,2023-11-27,South,Software,Partner,Small Business,6,158.01,0.0,948.06,0.0,1185.07,11,1.25
7,2023-03-29,West,Office Supplies,Online,Consumer,9,156.44,0.15,1407.96,211.19,1196.77,3,1.0
8,2025-05-21,Northeast,Software,Direct Sales,Mid Market,4,102.87,0.05,411.48,20.57,390.91,5,1.0
9,2023-05-11,West,Office Supplies,Partner,Consumer,6,102.46,0.0,614.76,0.0,614.76,5,1.0
10,2025-02-08,Midwest,Software,Partner,Small Business,10,254.22,0.0,2542.2,0.0,2542.2,2,1.0
11,2023-12-10,South,Software,Online,Small Business,11,112.93,0.0,1242.23,0.0,1552.79,12,1.25
12,2025-03-16,South,Office Supplies,Online,Mid Market,5,173.64,0.0,868.2,0.0,868.2,3,1.0
13,2024-01-21,Northeast,Software,Online,Consumer,9,175.97,0.0,1583.73,0.0,1583.73,1,1.0
14,2025-08-13,Midwest,Office Supplies,Online,Mid Market,10,158.6,0.0,1586.0,0.0,1744.6,8,1.1
15,2023-10-04,West,Services,Retail,Enterprise,6,176.03,0.1,1056.18,105.62,1188.2,10,1.25
16,2024-04-04,Northeast,Software,Direct Sales,Mid Market,3,165.4,0.1,496.2,49.62,446.58,4,1.0
17,2023-01-22,Northeast,Technology,Online,Small Business,2,162.16,0.05,324.32,16.22,308.1,1,1.0
18,2023-09-10,Northeast,Software,Retail,Mid Market,3,242.94,0.0,728.82,0.0,728.82,9,1.0
19,2025-01-17,West,Office Supplies,Online,Mid Market,6,132.57,0.0,795.42,0.0,795.42,1,1.0
20,2025-05-06,South,Services,Online,Small Business,10,150.04,0.0,1500.4,0.0,1500.4,5,1.0
21,2024-04-19,Midwest,Software,Direct Sales,Small Business,8,235.2,0.15,1881.6,282.24,1599.36,4,1.0
22,2025-12-18,Midwest,Technology,Partner,Mid Market,8,152.54,0.0,1220.32,0.0,1525.4,12,1.25
23,2024-05-25,South,Furniture,Retail,Mid Market,5,160.34,0.1,801.7,80.17,721.53,5,1.0
24,2024-11-30,Midwest,Office Supplies,Online,Enterprise,1,151.82,0.1,151.82,15.18,170.8,11,1.25
25,2025-09-02,South,Software,Online,Mid Market,1,242.65,0.0,242.65,0.0,242.65,9,1.0
26,2023-07-09,West,Software,Online,Enterprise,7,233.84,0.0,1636.88,0.0,1800.57,7,1.1
27,2025-08-15,West,Furniture,Online,Enterprise,2,119.77,0.05,239.54,11.98,250.32,8,1.1
28,2024-11-17,Midwest,Office Supplies,Online,Mid Market,4,262.74,0.0,1050.96,0.0,1313.7,11,1.25
29,2025-08-15,South,Office Supplies,Partner,Mid Market,10,65.91,0.0,659.1,0.0,725.01,8,1.1
30,2024-07-16,Northeast,Technology,Online,Enterprise,5,92.87,0.0,464.35,0.0,510.79,7,1.1
31,2025-04-11,Midwest,Technology,Online,Enterprise,8,97.9,0.05,783.2,39.16,744.04,4,1.0
32,2024-10-08,Midwest,Furniture,Partner,Enterprise,10,124.36,0.0,1243.6,0.0,1554.5,10,1.25
33,2023-01-21,Northeast,Technology,Direct Sales,Mid Market,9,161.24,0.0,1451.16,0.0,1451.16,1,1.0
34,2025-04-20,Midwest,Technology,Direct Sales,Small Business,1,126.04,0.0,126.04,0.0,126.04,4,1.0
35,2023-06-16,Northeast,Technology,Partner,Small Business,9,118.48,0.1,1066.32,106.63,1055.66,6,1.1
36,2024-01-23,South,Services,Online,Small Business,5,210.41,0.05,1052.05,52.6,999.45,1,1.0
37,2024-08-23,West,Furniture,Online,Small Business,4,164.96,0.1,659.84,65.98,653.24,8,1.1
38,2023-11-12,South,Furniture,Direct Sales,Enterprise,10,225.34,0.0,2253.4,0.0,2816.75,11,1.25
39,2023-01-14,South,Technology,Direct Sales,Mid Market,5,232.4,0.1,1162.0,116.2,1045.8,1,1.0
40,2023-08-30,Northeast,Office Supplies,Retail,Mid Market,9,190.26,0.0,1712.34,0.0,1883.57,8,1.1
41,2025-02-15,South,Office Supplies,Online,Mid Market,8,219.81,0.0,1758.48,0.0,1758.48,2,1.0
42,2024-07-18,West,Technology,Online,Mid Market,10,171.08,0.05,1710.8,85.54,1787.79,7,1.1
43,2025-06-16,West,Office Supplies,Direct Sales,Small Business,5,112.98,0.0,564.9,0.0,621.39,6,1.1
44,2023-04-02,West,Software,Online,Small Business,11,103.83,0.0,1142.13,0.0,1142.13,4,1.0
45,2025-08-13,West,Furniture,Partner,Enterprise,10,74.63,0.05,746.3,37.32,779.88,8,1.1
46,2024-05-23,Midwest,Office Supplies,Direct Sales,Small Business,5,223.25,0.1,1116.25,111.62,1004.62,5,1.0
47,2025-02-14,South,Office Supplies,Partner,Small Business,1,189.42,0.0,189.42,0.0,189.42,2,1.0
48,2023-02-04,South,Technology,Online,Small Business,9,25.0,0.1,225.0,22.5,202.5,2,1.0
49,2023-07-25,Midwest,Software,Online,Small Business,3,216.26,0.05,648.78,32.44,677.98,7,1.1
50,2025-10-22,Midwest,Software,Online,Small Business,1,184.39,0.0,184.39,0.0,230.49,10,1.25
51,2025-10-18,West,Office Supplies,Partner,Mid Market,5,130.96,0.0,654.8,0.0,818.5,10,1.25
52,2024-07-19,Northeast,Furniture,Retail,Small Business,10,130.26,0.15,1302.6,195.39,1217.93,7,1.1
53,2024-12-03,West,Services,Online,Small Business,3,165.38,0.0,496.14,0.0,620.17,12,1.25
54,2024-02-06,West,Furniture,Online,Enterprise,6,246.38,0.0,1478.28,0.0,1478.28,2,1.0
